playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2024,Igor Shesterkin,NYR,G,other,49,3623.0,11.98,12.0,120.0,5.58,8.0,15.12,8.0,72.98,65.0,1.48,0.0,38.59,35.0,21.27,32.0,10.85,53.0,24.0,18.0,2.06,3.05,6.87,4.0,0.0,8.0,25.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,all,49,167826.0,149.65,130.0,2915.0,107.2,160.0,370.24,266.0,1548.83,1401.0,47.97,3.0,827.86,629.0,593.72,912.0,142.06,1503.0,415.0,182.0,42.12,52.23,55.31,46.0,51.0,33.0,815.0,4.0,2.0
8478048,2024,Igor Shesterkin,NYR,G,5on5,49,136183.0,106.22,95.0,2324.0,77.63,116.0,298.57,210.0,1206.56,1091.0,37.66,3.0,644.48,477.0,478.92,746.0,101.98,1212.0,315.0,119.0,33.87,39.54,32.81,38.0,42.0,15.0,678.0,4.0,2.0
8478048,2024,Igor Shesterkin,NYR,G,4on5,49,15876.0,28.69,21.0,418.0,22.53,35.0,52.32,47.0,239.16,217.0,1.72,0.0,135.2,111.0,72.46,104.0,26.49,208.0,68.0,43.0,5.24,8.65,14.79,3.0,8.0,10.0,99.0,0.0,0.0
8478048,2024,Igor Shesterkin,NYR,G,5on4,49,12144.0,2.72,2.0,52.0,1.42,1.0,4.1,1.0,29.47,28.0,7.07,0.0,9.22,6.0,20.66,29.0,2.69,29.0,8.0,2.0,0.91,0.98,0.83,1.0,1.0,0.0,13.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,other,26,3150.0,7.03,7.0,95.0,4.07,6.0,10.68,13.0,50.34,44.0,1.19,1.0,29.66,25.0,14.72,17.0,6.26,35.0,25.0,8.0,1.28,3.05,2.71,1.0,5.0,1.0,27.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,all,26,81617.0,62.83,69.0,1297.0,46.18,56.0,161.96,145.0,677.88,629.0,24.27,1.0,374.65,308.0,266.69,357.0,59.58,686.0,193.0,56.0,20.45,23.83,18.55,36.0,22.0,11.0,362.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,5on5,26,66578.0,41.16,45.0,1038.0,33.89,42.0,131.88,109.0,527.65,487.0,18.98,0.0,291.88,242.0,215.5,294.0,39.62,570.0,132.0,30.0,16.44,16.32,8.4,31.0,11.0,3.0,306.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,4on5,26,5566.0,13.18,16.0,135.0,7.36,7.0,16.67,22.0,81.95,79.0,0.25,0.0,47.22,40.0,23.94,26.0,12.25,65.0,28.0,18.0,2.29,3.45,7.45,4.0,5.0,7.0,24.0,0.0,0.0
8481020,2024,Justus Annunen,NSH,G,5on4,26,6323.0,1.46,1.0,29.0,0.86,1.0,2.72,1.0,17.94,19.0,3.85,0.0,5.87,1.0,12.53,20.0,1.45,16.0,8.0,0.0,0.44,1.02,0.0,0.0,1.0,0.0,5.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,other,22,1814.0,4.73,8.0,51.0,1.76,1.0,5.25,4.0,25.46,22.0,0.63,0.0,12.85,10.0,8.52,10.0,4.22,17.0,10.0,7.0,0.76,1.17,2.8,2.0,2.0,4.0,17.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,all,22,72607.0,54.36,66.0,1181.0,40.04,57.0,151.55,113.0,616.48,558.0,20.68,0.0,326.51,294.0,245.76,308.0,52.18,618.0,170.0,51.0,17.83,20.33,16.2,29.0,27.0,10.0,342.0,4.0,2.0
8478971,2024,Connor Ingram,UTA,G,5on5,22,60590.0,40.09,43.0,934.0,29.21,41.0,123.14,90.0,484.11,440.0,17.24,0.0,256.23,238.0,196.15,249.0,38.86,501.0,122.0,38.0,14.63,14.68,10.78,23.0,16.0,4.0,273.0,2.0,1.0
8478971,2024,Connor Ingram,UTA,G,4on5,22,5558.0,7.41,11.0,163.0,8.09,14.0,19.84,19.0,84.69,74.0,0.42,0.0,49.79,39.0,26.8,32.0,7.02,82.0,28.0,5.0,1.82,3.24,2.35,3.0,6.0,2.0,48.0,0.0,0.0
8478971,2024,Connor Ingram,UTA,G,5on4,22,4645.0,1.4,2.0,23.0,0.64,1.0,2.13,0.0,15.88,18.0,2.15,0.0,4.91,4.0,11.45,14.0,1.36,15.0,5.0,1.0,0.51,0.63,0.27,1.0,1.0,0.0,2.0,2.0,1.0
