,name,player_id
0,Aaron Dell,8477180
1,Adam Huska,8478903
2,Adam Werner,8479530
3,Adam Wilcox,8476330
4,Adin Hill,8478499
5,Akira Schmid,8481033
6,Al Montoya,8471219
7,Alex Auld,8467913
8,Alex Lyon,8479312
9,Alex Nedeljkovic,8477968
10,Alex Stalock,8471774
11,Alexandar Georgiev,8480382
12,Alexander Pechurskiy,8474708
13,Alexander Salak,8475130
14,Alexei Melnichuk,8482246
15,Allen York,8474057
16,Anders Lindback,8474765
17,Anders Nilsson,8475195
18,Andrei Vasilevskiy,8476883
19,Andrew Hammond,8477202
20,Andrew Raycroft,8467453
21,Andrey Makarov,8477092
22,Antero Niittymaki,8467511
23,Anthony Stolarz,8476932
24,Antoine Bibeau,8477312
25,Anton Forsberg,8476341
26,Anton Khudobin,8471418
27,Antti Niemi,8474550
28,Antti Raanta,8477293
29,Arturs Silovs,8481668
30,Artyom Zagidulin,8481501
31,Arvid Soderblom,8482821
32,Ben Bishop,8471750
33,Ben Scrivens,8475681
34,Brad Thiessen,8475097
35,Braden Holtby,8474651
36,Brandon Halverson,8477990
37,Brent Johnson,8462161
38,Brent Krahn,8468489
39,Brian Boucher,8462052
40,Brian Elliott,8470880
41,Brian Foster,8471822
42,Cal Petersen,8477361
43,Calvin Heeter,8476763
44,Calvin Petersen,8477361
45,Calvin Pickard,8475717
46,Cam Talbot,8475660
47,Cam Ward,8470320
48,Carey Price,8471679
49,Carter Hart,8479394
50,Carter Hutton,8475622
51,Casey DeSmith,8479193
52,Cayden Primeau,8480051
53,Cedrick Desjardins,8473638
54,Chad Johnson,8473434
55,Charlie Lindgren,8479292
56,Chris Driedger,8476904
57,Chris Holt,8470772
58,Chris Mason,8462152
59,Chris Osgood,8458568
60,Christopher Gibson,8476444
61,Collin Delia,8480420
62,Connor Hellebuyck,8476945
63,Connor Ingram,8478971
64,Connor Knapp,8475303
65,Corey Crawford,8470645
66,Cory Schneider,8471239
67,Craig Anderson,8467950
68,Cristobal Huet,8469658
69,Cristopher Nilstorp,8476846
70,Curtis Joseph,8448382
71,Curtis McElhinney,8470147
72,Curtis Sanford,8468166
73,Dan Ellis,8468540
74,Dan Vladar,8478435
75,Daniel Lacosta,8471305
