,name,GP,SV%_x,W,L,GA,SOG,SO,TIME,CAP HIT
1,"Allen, Jake",454.0,0.908,206.0,181.0,1176.0,12729.0,28.0,25626.0,"$5,850,000"
2,"Andersen, Frederik",509.0,0.916,304.0,132.0,1248.0,14802.0,28.0,29401.0,"$5,400,000"
3,"Annunen, Justus",44.0,0.901,24.0,14.0,113.0,1142.0,2.0,2375.0,"$837,500"
4,"Askarov, Yaroslav",16.0,0.899,5.0,7.0,43.0,427.0,0.0,857.0,"$925,000"
5,"Binnington, Jordan",326.0,0.906,165.0,115.0,880.0,9392.0,18.0,18868.0,"$6,000,000"
9,"Blackwood, Mackenzie",243.0,0.906,99.0,98.0,676.0,7188.0,13.0,13691.0,"$4,350,000"
11,"Bobrovsky, Sergei",745.0,0.914,424.0,240.0,1849.0,21594.0,48.0,42978.0,"$10,000,000"
20,"Comrie, Eric",73.0,0.898,31.0,34.0,216.0,2110.0,3.0,4093.0,"$3,000,00"
21,"Copley, Pheonix",77.0,0.898,44.0,17.0,202.0,1988.0,4.0,4261.0,"$1,000,000"
24,"Daccord, Joey",114.0,0.908,44.0,45.0,293.0,3165.0,4.0,6436.0,"$1,200,000"
25,"Daws, Nico",51.0,0.899,22.0,21.0,129.0,1273.0,1.0,2621.0,"$1,000,000"
26,"DeSmith, Casey",183.0,0.91,82.0,59.0,465.0,5151.0,12.0,10040.0,"$1,000,000"
27,"Demko, Thatcher",236.0,0.911,122.0,87.0,641.0,7177.0,9.0,13748.0,"$5,000,000"
29,"Domingue, Louis",144.0,0.906,61.0,60.0,394.0,4170.0,2.0,7848.0,"1,000,000"
30,"Dostal, Lukas",109.0,0.905,39.0,52.0,320.0,3383.0,2.0,5976.0,"$900,000"
31,"Ersson, Samuel",102.0,0.89,48.0,33.0,273.0,2480.0,7.0,5599.0,"$1,450,000"
32,"Fedotov, Ivan",24.0,0.877,5.0,12.0,70.0,569.0,0.0,1289.0,"$950,000"
33,"Fleury, Marc-Andre",1047.0,0.912,573.0,337.0,2622.0,29745.0,76.0,60531.0,"$8,500,000"
34,"Forsberg, Anton",183.0,0.904,72.0,79.0,494.0,5142.0,7.0,9686.0,"$2,750,000"
37,"Georgiev, Alexandar",295.0,0.904,149.0,105.0,815.0,8492.0,15.0,16547.0,"$3,400,000"
38,"Gibson, John",503.0,0.91,202.0,217.0,1381.0,15335.0,24.0,28644.0,"$6,400,000"
39,"Greaves, Jet",15.0,0.91,5.0,8.0,48.0,535.0,0.0,877.0,"$850,000"
40,"Grubauer, Philipp",367.0,0.908,165.0,137.0,891.0,9696.0,22.0,20171.0,"$5,900,000"
41,"Gustavsson, Filip",156.0,0.913,77.0,54.0,404.0,4615.0,10.0,9011.0,"$3,750,000"
43,"Hellebuyck, Connor",556.0,0.918,314.0,183.0,1382.0,16789.0,43.0,32326.0,"$8,500,000"
45,"Hill, Adin",176.0,0.909,88.0,62.0,431.0,4744.0,11.0,9782.0,"$4,900,000"
47,"Hofer, Joel",64.0,0.907,31.0,21.0,159.0,1705.0,2.0,3442.0,"$2,000,000"
48,"Husso, Ville",142.0,0.901,70.0,46.0,406.0,4096.0,7.0,7989.0,"$4,750,000"
50,"Ingram, Connor",102.0,0.902,39.0,44.0,302.0,3070.0,7.0,5778.0,"$1,950,000"
51,"Jarry, Tristan",283.0,0.91,148.0,94.0,728.0,8078.0,19.0,15953.0,"$5,375,000"
52,"Johansson, Jonas",76.0,0.889,30.0,25.0,227.0,2052.0,4.0,4116.0,"$2,000,000"
55,"Knight, Spencer",84.0,0.907,46.0,27.0,212.0,2288.0,5.0,4655.0,"$1,500,000"
56,"Kochetkov, Pyotr",109.0,0.909,63.0,31.0,249.0,2729.0,10.0,6301.0,"$2,000,000"
59,"Korpisalo, Joonas",299.0,0.901,125.0,114.0,835.0,8428.0,7.0,16486.0,"$4,000,000"
61,"Kuemper, Darcy",427.0,0.914,200.0,143.0,1036.0,12095.0,35.0,24223.0,"$5,250,000"
62,"Lankinen, Kevin",154.0,0.905,68.0,55.0,426.0,4473.0,7.0,8746.0,"$3,875,000"
