,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded,position
2,Aaron Ekblad,3.9876543209876543,0.9300411522633745,0.16049382716049382,0.038408779149519894,0.10013717421124829,1.1440329218106995,0.08916323731138547,2.9972565157750344,0.03292181069958848,0.27709190672153633,0.9163237311385459,4.046639231824417,0.6652949245541838,0.5157750342935528,0.02194787379972565,0.20713305898491083,27.1920438957476,4.744855967078189,2.458161865569273,0.4348422496570645,0.0,0.0,729,1372.6159122085048,0.00823045267489712,0.008161865569272977,0.17832647462277093,1.0795610425240054,0.355281207133059,1,D
4,Aaron Johnson,2.171232876712329,0.4246575342465753,0.0684931506849315,0.0273972602739726,0.04794520547945205,1.5684931506849316,0.0410958904109589,1.3082191780821917,0.0,0.04794520547945205,0.4794520547945205,1.773972602739726,0.6438356164383562,0.2328767123287671,0.00684931506849315,0.06164383561643835,20.671232876712327,1.9726027397260273,0.9246575342465754,0.2808219178082192,0.0,0.0,146,935.1643835616438,0.013561643835616439,0.01363013698630137,0.1643835616438356,1.0684931506849316,0.1643835616438356,1,D
5,Aaron MacKenzie,2.0,0.0,0.0,0.0,0.0,1.2,0.0,0.8,0.0,0.2,0.4,2.2,0.0,0.0,0.0,0.2,23.0,1.6,0.6,0.2,0.0,0.0,5,878.0,0.094,0.10400000000000001,0.2,1.6,0.0,1,D
6,Aaron Ness,1.3888888888888888,0.3194444444444444,0.013888888888888888,0.0,0.027777777777777776,0.5833333333333334,0.013888888888888888,1.0694444444444444,0.0,0.041666666666666664,0.4305555555555556,2.3472222222222223,0.3055555555555556,0.09722222222222222,0.0,0.013888888888888888,19.38888888888889,1.6388888888888888,0.7083333333333334,0.09722222222222222,0.0,0.0,72,823.7916666666666,0.04513888888888889,0.04375,0.125,1.1111111111111112,0.08333333333333333,1,D
8,Aaron Rome,2.6971153846153846,0.35096153846153844,0.02403846153846154,0.009615384615384616,0.019230769230769232,1.3221153846153846,0.009615384615384616,1.2355769230769231,0.004807692307692308,0.03365384615384615,0.4326923076923077,2.081730769230769,0.6730769230769231,0.125,0.004807692307692308,0.0625,21.264423076923077,2.0384615384615383,0.8557692307692307,0.13942307692307693,0.0,0.0,208,934.1298076923077,0.013942307692307691,0.01389423076923077,0.11057692307692307,1.1923076923076923,0.10096153846153846,1,D
11,Aaron Ward,3.442857142857143,0.32142857142857145,0.02857142857142857,0.0,0.0,2.2857142857142856,0.02142857142857143,0.9714285714285714,0.007142857142857143,0.04285714285714286,0.36428571428571427,1.9928571428571429,0.7142857142857143,0.15714285714285714,0.007142857142857143,0.04285714285714286,22.607142857142858,1.6785714285714286,0.65,0.12142857142857143,0.0,0.0,140,1081.1214285714286,0.006285714285714286,0.006357142857142857,0.12142857142857143,1.8785714285714286,0.12857142857142856,1,D
13,Adam Almquist,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,2.5,0.0,0.5,0.0,0.0,25.0,1.5,1.0,0.0,0.0,0.0,2,1033.0,0.265,0.27,0.0,0.0,0.0,1,D
15,Adam Boqvist,1.5104602510460252,0.5355648535564853,0.11297071129707113,0.03347280334728033,0.058577405857740586,0.5606694560669456,0.06694560669456066,1.6317991631799162,0.012552301255230125,0.13807531380753138,0.5606694560669456,3.6234309623430963,0.20920502092050208,0.39748953974895396,0.016736401673640166,0.100418410041841,20.418410041841003,2.790794979079498,1.2677824267782427,0.20920502092050208,0.0041841004184100415,0.008368200836820083,239,1016.2928870292887,0.013640167364016737,0.013263598326359833,0.16317991631799164,0.9288702928870293,0.28451882845188287,1,D
18,Adam Clendening,1.4555555555555555,0.6333333333333333,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.5888888888888889,0.022222222222222223,1.711111111111111,0.0,0.0,0.5888888888888889,3.1777777777777776,0.5444444444444444,0.26666666666666666,0.0,0.05555555555555555,20.855555555555554,2.6555555555555554,1.1666666666666667,0.2,0.0,0.0,90,927.2333333333333,0.02766666666666667,0.027333333333333334,0.1111111111111111,1.0222222222222221,0.2222222222222222,1,D
23,Adam Foote,4.506410256410256,0.4166666666666667,0.00641025641025641,0.0,0.0,1.4102564102564104,0.0,0.6282051282051282,0.00641025641025641,0.04487179487179487,0.23717948717948717,2.0384615384615383,0.8141025641025641,0.15384615384615385,0.0,0.04487179487179487,25.685897435897434,1.0512820512820513,0.4358974358974359,0.20512820512820512,0.0,0.0,156,1140.4871794871794,0.007051282051282052,0.007243589743589743,0.16666666666666666,1.5769230769230769,0.14743589743589744,1,D
