,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,shots_blocked_by_player,assists,position_encoded,position,salary
0,Aaron Ekblad,3.949479940564636,0.922734026745914,0.1693907875185735,0.0416047548291233,0.1040118870728083,1.1054977711738485,0.0921248142644873,3.0044576523031203,0.0356612184249628,0.2823179791976226,0.8855869242199108,4.062407132243685,0.6419019316493314,0.5096582466567607,0.0237741456166419,0.1991084695393759,27.071322436849925,4.707280832095097,2.5052005943536404,0.4368499257057949,0.0,0.0,673,1369.44279346211,0.0080832095096582,0.0080237741456166,0.1693907875185735,1.074294205052006,0.3402674591381872,1,D,8000000
1,Aaron Johnson,2.171232876712329,0.4246575342465753,0.0684931506849315,0.0273972602739726,0.047945205479452,1.5684931506849316,0.0410958904109589,1.3082191780821917,0.0,0.047945205479452,0.4794520547945205,1.773972602739726,0.6438356164383562,0.2328767123287671,0.0068493150684931,0.0616438356164383,20.671232876712327,1.9726027397260275,0.9246575342465754,0.2808219178082192,0.0,0.0,146,935.1643835616438,0.0135616438356164,0.0136301369863013,0.1643835616438356,1.0684931506849316,0.1643835616438356,1,D,950000
2,Aaron MacKenzie,2.0,0.0,0.0,0.0,0.0,1.2,0.0,0.8,0.0,0.2,0.4,2.2,0.0,0.0,0.0,0.2,23.0,1.6,0.6,0.2,0.0,0.0,5,878.0,0.094,0.104,0.2,1.6,0.0,1,D,950000
3,Aaron Ness,1.3888888888888888,0.3194444444444444,0.0138888888888888,0.0,0.0277777777777777,0.5833333333333334,0.0138888888888888,1.0694444444444444,0.0,0.0416666666666666,0.4305555555555556,2.3472222222222223,0.3055555555555556,0.0972222222222222,0.0,0.0138888888888888,19.38888888888889,1.6388888888888888,0.7083333333333334,0.0972222222222222,0.0,0.0,72,823.7916666666666,0.0451388888888888,0.04375,0.125,1.1111111111111112,0.0833333333333333,1,D,950000
4,Aaron Rome,2.6971153846153846,0.3509615384615384,0.0240384615384615,0.0096153846153846,0.0192307692307692,1.3221153846153846,0.0096153846153846,1.2355769230769231,0.0048076923076923,0.0336538461538461,0.4326923076923077,2.081730769230769,0.6730769230769231,0.125,0.0048076923076923,0.0625,21.26442307692308,2.0384615384615383,0.8557692307692307,0.1394230769230769,0.0,0.0,208,934.1298076923076,0.0139423076923076,0.0138942307692307,0.110576923076923,1.1923076923076923,0.1009615384615384,1,D,950000
5,Aaron Ward,3.442857142857143,0.3214285714285714,0.0285714285714285,0.0,0.0,2.2857142857142856,0.0214285714285714,0.9714285714285714,0.0071428571428571,0.0428571428571428,0.3642857142857142,1.9928571428571429,0.7142857142857143,0.1571428571428571,0.0071428571428571,0.0428571428571428,22.607142857142858,1.6785714285714286,0.65,0.1214285714285714,0.0,0.0,140,1081.1214285714286,0.0062857142857142,0.0063571428571428,0.1214285714285714,1.8785714285714288,0.1285714285714285,1,D,950000
6,Adam Almquist,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,2.5,0.0,0.5,0.0,0.0,25.0,1.5,1.0,0.0,0.0,0.0,2,1033.0,0.265,0.27,0.0,0.0,0.0,1,D,950000
7,Adam Boqvist,1.5789473684210529,0.5454545454545454,0.1100478468899521,0.0287081339712918,0.0526315789473684,0.583732057416268,0.0669856459330143,1.6363636363636365,0.0143540669856459,0.1435406698564593,0.5598086124401914,3.636363636363636,0.1913875598086124,0.4019138755980861,0.0143540669856459,0.0909090909090909,20.789473684210527,2.7607655502392343,1.2727272727272727,0.2200956937799043,0.0047846889952153,0.0095693779904306,209,1045.8133971291866,0.0128708133971291,0.0124880382775119,0.1866028708133971,0.9904306220095692,0.291866028708134,1,D,950000
8,Adam Clendening,1.4555555555555555,0.6333333333333333,0.0444444444444444,0.0222222222222222,0.0444444444444444,0.5888888888888889,0.0222222222222222,1.711111111111111,0.0,0.0,0.5888888888888889,3.1777777777777776,0.5444444444444444,0.2666666666666666,0.0,0.0555555555555555,20.855555555555554,2.6555555555555554,1.1666666666666667,0.2,0.0,0.0,90,927.2333333333332,0.0276666666666666,0.0273333333333333,0.1111111111111111,1.022222222222222,0.2222222222222222,1,D,950000
9,Adam Foote,4.506410256410256,0.4166666666666667,0.0064102564102564,0.0,0.0,1.4102564102564104,0.0,0.6282051282051282,0.0064102564102564,0.0448717948717948,0.2371794871794871,2.0384615384615383,0.8141025641025641,0.1538461538461538,0.0,0.0448717948717948,25.685897435897434,1.051282051282051,0.4358974358974359,0.2051282051282051,0.0,0.0,156,1140.4871794871794,0.007051282051282,0.0072435897435897,0.1666666666666666,1.5769230769230769,0.1474358974358974,1,D,950000
10,Adam Fox,3.57703081232493,0.7338935574229691,0.1484593837535014,0.0448179271708683,0.0952380952380952,0.4397759103641456,0.0616246498599439,2.294117647058824,0.042016806722689,0.1988795518207282,0.680672268907563,4.056022408963585,0.3977591036414565,0.8599439775910365,0.0140056022408963,0.134453781512605,26.28011204481793,3.722689075630252,1.907563025210084,0.8627450980392157,0.0028011204481792,0.0,357,1383.5350140056023,0.0077871148459383,0.0078991596638655,0.1904761904761904,1.596638655462185,0.711484593837535,1,D,8000000
11,Adam Ginning,1.2,0.6,0.1,0.0,0.0,2.0,0.1,0.9,0.0,0.0,0.3,1.3,0.2,0.1,0.0,0.0,19.3,1.6,0.6,0.2,0.0,0.0,10,864.1,0.1169999999999999,0.119,0.0,1.1,0.0,1,D,950000
12,Adam Larsson,4.139315230224321,0.5702479338842975,0.0519480519480519,0.0070838252656434,0.0283353010625737,2.382526564344746,0.0306965761511216,1.7485242030696575,0.0141676505312868,0.0708382526564344,0.5879574970484062,2.2739079102715465,0.5478158205430933,0.2514757969303424,0.0059031877213695,0.0932703659976387,25.69185360094451,2.7863046044864226,1.2597402597402598,0.3069657615112161,0.0,0.0011806375442739,847,1280.556080283353,0.0070602125147579,0.0070484061393152,0.1050767414403778,1.7981109799291617,0.1995277449822904,1,D,6000000
13,Adam McQuaid,3.0625,0.314453125,0.03125,0.001953125,0.009765625,1.939453125,0.025390625,1.109375,0.00390625,0.013671875,0.34765625,2.34375,1.19921875,0.142578125,0.001953125,0.04296875,22.5,1.857421875,0.78515625,0.12109375,0.001953125,0.0,512,975.216796875,0.0090234375,0.0090234375,0.2734375,1.62890625,0.111328125,1,D,4000000
14,Adam Pardy,2.1847507331378297,0.5043988269794721,0.0117302052785923,0.0,0.0087976539589442,1.2346041055718475,0.0058651026392961,0.997067448680352,0.0058651026392961,0.0615835777126099,0.3372434017595307,1.9296187683284456,0.7302052785923754,0.1524926686217008,0.002932551319648,0.0351906158357771,20.44868035190616,1.6803519061583578,0.7302052785923754,0.2551319648093841,0.0,0.0,341,916.5542521994134,0.0127565982404692,0.0127859237536656,0.2023460410557184,1.06158357771261,0.1407624633431085,1,D,2000000
15,Adam Pelech,4.34,0.67,0.052,0.006,0.028,1.45,0.036,1.834,0.01,0.094,0.62,1.83,0.382,0.28,0.004,0.076,25.178,2.982,1.336,0.476,0.0,0.0,500,1199.05,0.00784,0.00794,0.096,1.692,0.228,1,D,6000000
16,Adrian Aucoin,4.243323442136498,0.2908011869436201,0.0682492581602373,0.0029673590504451,0.0207715133531157,1.3857566765578635,0.0504451038575667,2.1275964391691398,0.0148367952522255,0.0741839762611275,0.7774480712166172,3.43620178041543,0.6172106824925816,0.28486646884273,0.0029673590504451,0.1246290801186943,27.32344213649852,3.2818991097922847,1.4451038575667656,0.2997032640949555,0.0,0.0059347181008902,337,1271.2433234421364,0.0073590504451038,0.0070326409495548,0.1216617210682492,0.8219584569732937,0.2166172106824926,1,D,6000000
17,Akito Hirose,1.4,0.5,0.0,0.0,0.0,0.9,0.0,0.8,0.0,0.0,0.4,1.8,0.4,0.3,0.0,0.0,22.0,1.0,0.4,0.1,0.0,0.0,10,951.4,0.0839999999999999,0.09,0.1,1.1,0.3,1,D,950000
18,Alec Martinez,3.229828850855746,0.6210268948655256,0.1014669926650366,0.0244498777506112,0.0599022004889975,1.243276283618582,0.0550122249388753,1.9474327628361856,0.0220048899755501,0.1393643031784841,0.7188264058679706,3.254278728606357,0.295843520782396,0.3386308068459657,0.0195599022004889,0.1112469437652811,25.18948655256724,3.3508557457212715,1.4278728606356967,0.1650366748166259,0.0036674816625916,0.0,818,1174.7713936430318,0.0096699266503667,0.0097799511002444,0.0831295843520782,2.2004889975550124,0.2371638141809291,1,D,8000000
19,Alec Regula,2.3181818181818183,1.0,0.0454545454545454,0.0,0.0,1.2727272727272727,0.0454545454545454,1.2272727272727273,0.0,0.0454545454545454,0.3181818181818182,1.3636363636363635,0.7272727272727273,0.0454545454545454,0.0,0.0454545454545454,21.5,2.363636363636364,0.9545454545454546,0.5,0.0,0.0,22,1013.7272727272727,0.0536363636363636,0.049090909090909,0.2272727272727272,1.4545454545454546,0.0,1,D,950000
20,Alex Biega,2.205761316872428,0.411522633744856,0.0164609053497942,0.0,0.0041152263374485,2.567901234567901,0.0164609053497942,1.872427983539095,0.0,0.1152263374485596,0.6090534979423868,2.0,0.5020576131687243,0.1687242798353909,0.0,0.0658436213991769,21.662551440329217,2.843621399176955,1.382716049382716,0.1275720164609053,0.0,0.0,243,937.156378600823,0.0149794238683127,0.0148971193415637,0.139917695473251,0.9382716049382716,0.1522633744855967,1,D,950000
21,Alex Goligoski,3.379664179104477,0.7257462686567164,0.0811567164179104,0.0130597014925373,0.0531716417910447,1.0848880597014925,0.0419776119402985,1.9794776119402984,0.0261194029850746,0.1343283582089552,0.667910447761194,3.3041044776119404,0.3470149253731343,0.439365671641791,0.0074626865671641,0.0998134328358208,26.0625,3.41044776119403,1.4990671641791045,0.1986940298507462,0.0009328358208955,0.0009328358208955,1072,1316.0559701492537,0.0076772388059701,0.007705223880597,0.1352611940298507,1.6511194029850746,0.3582089552238806,1,D,6000000
22,Alex Grant,1.2857142857142858,0.0,0.2857142857142857,0.0,0.0,1.1428571428571428,0.2857142857142857,0.8571428571428571,0.0,0.2857142857142857,0.2857142857142857,2.571428571428572,1.2857142857142858,0.2857142857142857,0.0,0.0,18.857142857142858,2.4285714285714284,0.8571428571428571,0.1428571428571428,0.0,0.0,7,775.8571428571429,0.1485714285714285,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.0,1,D,950000
23,Alex Henry,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,2,394.0,0.125,0.1,1.0,0.5,0.0,1,D,950000
24,Alex Petrovic,3.125,0.375,0.0178571428571428,0.0,0.0,2.383928571428572,0.0178571428571428,1.125,0.0,0.0446428571428571,0.3571428571428571,2.5625,1.1339285714285714,0.1875,0.0,0.0625,20.946428571428573,1.8035714285714288,0.8125,0.1160714285714285,0.0,0.0,112,993.1964285714286,0.0165178571428571,0.01625,0.25,1.0625,0.1696428571428571,1,D,950000
25,Alex Pietrangelo,4.524606299212598,0.5383858267716536,0.140748031496063,0.0383858267716535,0.09251968503937,0.7066929133858267,0.0807086614173228,3.1801181102362204,0.0216535433070866,0.1811023622047244,1.028543307086614,4.074803149606299,0.2942913385826771,0.5915354330708661,0.0167322834645669,0.1722440944881889,29.322834645669293,5.00492125984252,2.425196850393701,0.6496062992125984,0.0019685039370078,0.0009842519685039,1016,1468.5029527559054,0.0082480314960629,0.0082480314960629,0.1614173228346456,1.9251968503937007,0.4507874015748031,1,D,8000000
26,Alex Plante,1.7,0.4,0.0,0.0,0.0,1.6,0.0,1.2,0.0,0.0,0.3,1.6,1.5,0.2,0.0,0.0,18.7,1.5,0.9,0.1,0.0,0.0,10,788.9,0.137,0.135,0.4,0.6,0.2,1,D,950000
27,Alex Vlasic,4.268041237113402,0.5463917525773195,0.0309278350515463,0.0,0.0412371134020618,0.7835051546391752,0.0309278350515463,1.175257731958763,0.0,0.0721649484536082,0.3917525773195876,2.484536082474227,0.3814432989690721,0.1958762886597938,0.0,0.1030927835051546,24.072164948453608,2.0,0.8969072164948454,0.7216494845360825,0.0,0.0,97,1215.360824742268,0.0123711340206185,0.0124742268041237,0.1134020618556701,1.7835051546391754,0.1649484536082474,1,D,950000
28,Alexander Alexeyev,2.1944444444444446,0.3888888888888889,0.0138888888888888,0.0,0.0,1.1388888888888888,0.0138888888888888,1.0972222222222223,0.0,0.0277777777777777,0.4583333333333333,0.9444444444444444,0.1666666666666666,0.1111111111111111,0.0,0.0694444444444444,18.875,1.8472222222222223,0.6666666666666666,0.0972222222222222,0.0,0.0,72,892.7361111111111,0.0183333333333333,0.01875,0.0138888888888888,1.4861111111111112,0.0972222222222222,1,D,950000
29,Alexander Edler,4.194206008583691,0.6512875536480687,0.101931330472103,0.0225321888412017,0.0547210300429184,1.6266094420600858,0.0600858369098712,2.8916309012875536,0.01931330472103,0.1190987124463519,0.927038626609442,3.9656652360515023,0.7135193133047211,0.4420600858369098,0.0064377682403433,0.1030042918454935,27.066523605150216,4.669527896995708,2.138412017167382,0.3047210300429184,0.0118025751072961,0.0075107296137339,932,1353.0579399141632,0.0081652360515021,0.0082618025751072,0.1598712446351931,1.9828326180257512,0.3401287553648068,1,D,8000000
30,Alexander Petrovic,2.3642384105960264,0.5827814569536424,0.0198675496688741,0.0,0.0066225165562913,2.410596026490066,0.0132450331125827,1.5894039735099337,0.0066225165562913,0.0596026490066225,0.5695364238410596,2.119205298013245,0.9470198675496688,0.1920529801324503,0.0,0.0529801324503311,20.64900662251656,2.443708609271523,1.086092715231788,0.2781456953642384,0.0,0.0,151,972.7218543046356,0.0123841059602649,0.0123841059602649,0.1854304635761589,1.205298013245033,0.1721854304635761,1,D,950000
31,Alexander Romanov,3.0310344827586206,0.8103448275862069,0.0448275862068965,0.0,0.0103448275862068,2.4827586206896552,0.0379310344827586,1.8655172413793104,0.0068965517241379,0.0517241379310344,0.5655172413793104,1.7655172413793103,0.4379310344827586,0.2172413793103448,0.0034482758620689,0.0724137931034482,23.144827586206898,3.2,1.362068965517241,0.2827586206896552,0.0,0.0,290,1181.3137931034482,0.0062758620689655,0.0062068965517241,0.1310344827586207,1.7379310344827583,0.1724137931034483,1,D,4000000
32,Alexander Sulzer,2.3206106870229006,0.366412213740458,0.0534351145038167,0.0076335877862595,0.015267175572519,0.6259541984732825,0.0229007633587786,1.297709923664122,0.0229007633587786,0.0687022900763358,0.4580152671755725,2.106870229007633,0.3358778625954198,0.1679389312977099,0.015267175572519,0.0458015267175572,20.938931297709924,2.145038167938931,0.9236641221374046,0.1526717557251908,0.0,0.0076335877862595,131,1006.6946564885496,0.0226717557251908,0.0214503816793893,0.1450381679389313,1.3129770992366412,0.1145038167938931,1,D,950000
33,Alexander Urbom,2.088235294117647,0.6176470588235294,0.088235294117647,0.0,0.0,1.0588235294117647,0.0588235294117647,1.2058823529411764,0.0294117647058823,0.0588235294117647,0.5588235294117647,1.8823529411764703,0.5294117647058824,0.1176470588235294,0.0294117647058823,0.0294117647058823,18.11764705882353,1.6470588235294117,0.7058823529411765,0.2058823529411764,0.0,0.0,34,838.0882352941177,0.0526470588235294,0.0541176470588235,0.1764705882352941,0.6470588235294118,0.0294117647058823,1,D,950000
34,Alexander Yelesin,0.5,0.5,0.0,0.0,0.0,3.25,0.0,1.25,0.0,0.0,0.75,1.75,0.0,0.0,0.0,0.0,18.0,1.75,0.5,0.0,0.0,0.0,4,735.25,0.135,0.1375,0.0,0.0,0.0,1,D,950000
35,Alexandre Carrier,4.142857142857143,0.3778801843317972,0.0460829493087557,0.0092165898617511,0.032258064516129,1.0921658986175116,0.0230414746543778,1.5161290322580645,0.0138248847926267,0.1797235023041474,0.5483870967741935,1.8617511520737329,0.6036866359447005,0.2857142857142857,0.0046082949308755,0.1105990783410138,24.83870967741936,2.4654377880184333,1.1797235023041477,0.3087557603686636,0.0046082949308755,0.0,217,1158.8294930875577,0.0134562211981566,0.0137327188940092,0.2119815668202765,1.6589861751152073,0.2396313364055299,1,D,950000
36,Alexei Emelin,3.925438596491228,0.8245614035087719,0.0328947368421052,0.006578947368421,0.006578947368421,3.107456140350877,0.0263157894736842,1.3706140350877194,0.0,0.0285087719298245,0.5109649122807017,2.43640350877193,0.7302631578947368,0.1776315789473684,0.0,0.0701754385964912,24.769736842105264,2.267543859649123,0.8947368421052632,0.2083333333333333,0.0,0.0021929824561403,456,1153.657894736842,0.0068421052631578,0.0068640350877192,0.2105263157894736,1.594298245614035,0.1447368421052631,1,D,4000000
37,Alexei Semenov,1.893617021276596,0.4042553191489361,0.0212765957446808,0.0,0.0,1.127659574468085,0.0212765957446808,0.8723404255319149,0.0,0.0638297872340425,0.3404255319148936,1.3829787234042554,1.2127659574468086,0.1702127659574468,0.0,0.0425531914893617,18.127659574468087,1.446808510638298,0.5957446808510638,0.2127659574468085,0.0212765957446808,0.0,47,782.8510638297872,0.011063829787234,0.011063829787234,0.3404255319148936,0.6382978723404256,0.1489361702127659,1,D,950000
38,Alexey Marchenko,3.2975206611570247,0.4876033057851239,0.0330578512396694,0.0,0.0,0.6446280991735537,0.024793388429752,1.0826446280991735,0.0082644628099173,0.0578512396694214,0.4545454545454545,2.43801652892562,0.2148760330578512,0.1735537190082644,0.0082644628099173,0.0330578512396694,24.06611570247934,1.7024793388429753,0.6859504132231405,0.1322314049586777,0.0,0.0,121,1001.5537190082644,0.0155371900826446,0.0155371900826446,0.0991735537190082,1.396694214876033,0.140495867768595,1,D,950000
39,Anders Eriksson,2.2,0.3,0.0,0.0,0.0,0.95,0.0,0.65,0.0,0.05,0.4,2.45,0.1,0.25,0.0,0.05,21.2,1.2,0.3,0.15,0.0,0.0,20,914.7,0.0235,0.0235,0.1,1.2,0.25,1,D,950000
40,Andre Benoit,3.0497237569060776,0.3977900552486187,0.0607734806629834,0.011049723756906,0.0331491712707182,0.7237569060773481,0.0331491712707182,1.5469613259668509,0.0165745856353591,0.154696132596685,0.4917127071823204,2.9502762430939224,0.3314917127071823,0.2651933701657458,0.005524861878453,0.0828729281767955,25.16022099447514,2.696132596685083,1.2430939226519335,0.2209944751381215,0.0,0.0,181,1116.889502762431,0.0125414364640883,0.012817679558011,0.0939226519337016,1.591160220994475,0.2044198895027624,1,D,950000
41,Andreas Borgman,1.3636363636363635,0.7090909090909091,0.0545454545454545,0.0,0.0,2.381818181818182,0.0545454545454545,1.4363636363636365,0.0,0.0727272727272727,0.5454545454545454,2.2,0.5818181818181818,0.2363636363636363,0.0,0.0545454545454545,19.43636363636364,2.5454545454545454,0.9636363636363636,0.2727272727272727,0.0,0.0,55,808.0545454545454,0.0183636363636363,0.0176363636363636,0.1272727272727272,0.7090909090909091,0.1818181818181818,1,D,950000
42,Andreas Englund,1.6790123456790125,0.2469135802469135,0.0061728395061728,0.0,0.0061728395061728,2.506172839506173,0.0,0.7530864197530864,0.0061728395061728,0.037037037037037,0.2592592592592592,1.3148148148148149,0.8024691358024691,0.1049382716049382,0.0,0.074074074074074,16.512345679012345,1.3209876543209875,0.5370370370370371,0.1358024691358024,0.0,0.0,162,747.8827160493827,0.0166049382716049,0.0162962962962963,0.2345679012345679,0.8641975308641975,0.0987654320987654,1,D,950000
43,Andreas Lilja,3.25414364640884,0.4585635359116022,0.0220994475138121,0.0,0.0,1.6353591160220995,0.0165745856353591,1.0883977900552486,0.005524861878453,0.0331491712707182,0.3204419889502762,2.110497237569061,0.7182320441988951,0.154696132596685,0.005524861878453,0.0220994475138121,21.41988950276243,1.4917127071823204,0.8011049723756906,0.1325966850828729,0.005524861878453,0.0,181,958.2596685082872,0.0117127071823204,0.0119337016574585,0.1160220994475138,1.6740331491712708,0.1325966850828729,1,D,950000
44,Andrei Markov,4.106639839034205,1.0442655935613685,0.1146881287726358,0.0482897384305835,0.0885311871227364,0.6780684104627767,0.056338028169014,2.265593561368209,0.0100603621730382,0.1549295774647887,0.8048289738430584,4.458752515090543,0.3742454728370221,0.6177062374245473,0.0181086519114688,0.1267605633802817,28.14486921529175,3.8953722334004026,1.704225352112676,0.5311871227364185,0.0,0.0,497,1437.9899396378269,0.0096780684104627,0.0095171026156941,0.1629778672032193,1.6338028169014085,0.5030181086519114,1,D,8000000
45,Andrei Mironov,1.2,0.3,0.1,0.0,0.0,1.9,0.1,0.4,0.0,0.0,0.1,2.2,1.2,0.3,0.0,0.0,15.9,0.9,0.3,0.1,0.0,0.0,10,662.8,0.0349999999999999,0.0349999999999999,0.0,1.6,0.2,1,D,950000
46,Andrej Meszaros,3.3834586466165413,0.4937343358395989,0.0927318295739348,0.0150375939849624,0.050125313283208,1.6666666666666667,0.0551378446115288,2.1403508771929824,0.0225563909774436,0.112781954887218,0.6516290726817042,3.0426065162907268,0.5864661654135338,0.3208020050125313,0.0025062656641604,0.112781954887218,27.416040100250623,3.4536340852130327,1.6516290726817042,0.3082706766917293,0.0025062656641604,0.0,399,1215.9122807017543,0.0081453634085213,0.0080701754385964,0.1152882205513784,1.5413533834586466,0.2280701754385964,1,D,6000000
47,Andrej Sekera,3.6109725685785534,0.6945137157107232,0.0610972568578553,0.0149625935162094,0.0286783042394014,0.7743142144638404,0.0324189526184538,1.7518703241895262,0.013715710723192,0.1084788029925187,0.5635910224438903,2.877805486284289,0.226932668329177,0.3054862842892768,0.0049875311720698,0.0960099750623441,25.7281795511222,3.1221945137157108,1.325436408977556,0.4027431421446384,0.0037406483790523,0.0,802,1197.503740648379,0.0084538653366583,0.0084039900249376,0.1072319201995012,1.4738154613466334,0.2443890274314214,1,D,6000000
