player_id,gameCount,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,pim
8470666,39,4,4,8,3,0,0,0,0,42,491,54
8468001,1,0,0,0,0,0,0,0,0,0,4,0
8470896,1,0,0,0,0,0,0,0,0,0,7,12
8475736,14,1,3,4,3,0,0,0,0,18,172,9
8475722,57,19,26,45,5,10,10,3,0,105,1164,55
8475087,6,0,0,0,0,0,0,0,0,2,83,4
8467483,71,5,17,22,-16,2,2,1,0,108,1374,14
8450978,42,4,9,13,-1,1,1,0,0,50,720,24
8466212,24,0,0,0,0,0,0,0,0,6,136,78
8474616,2,0,0,0,0,0,0,0,0,1,13,0
8480797,65,11,12,23,-14,0,0,1,0,121,1279,28
8460105,66,9,16,25,-12,6,6,2,0,102,1449,34
8477479,67,17,17,34,-34,8,8,0,0,108,1159,43
8469647,22,1,1,2,0,0,0,0,0,4,144,45
8470302,71,5,7,12,-12,0,0,0,0,77,1297,10
8462060,28,1,2,3,-6,0,0,0,0,2,230,28
8482802,1,0,0,0,0,0,0,0,0,0,2,0
8478010,61,32,33,65,8,13,13,6,2,153,1333,2
8477445,7,0,1,1,-3,0,0,0,0,5,96,2
8465041,8,1,1,2,1,0,0,1,0,6,124,0
8477451,54,8,12,20,-9,2,2,0,0,124,885,65
8480032,1,0,0,0,0,0,0,0,0,1,3,0
8482157,67,17,19,36,10,2,2,3,0,126,1361,32
8477486,2,0,0,0,-1,0,0,0,0,3,39,2
8477492,67,27,75,102,26,8,8,5,1,270,1611,31
8481462,9,3,1,4,-3,1,1,0,0,9,135,0
8474762,7,0,0,0,0,0,0,0,0,4,75,11
8480185,66,8,12,20,11,0,0,2,0,72,1445,24
8479520,51,9,1,10,6,0,0,3,0,80,773,42
8469733,16,2,1,3,-4,0,0,0,0,17,275,0
8474038,27,4,3,7,-8,0,0,2,0,33,491,2
8480813,60,5,5,10,-16,0,0,0,0,52,946,13
8477243,2,0,0,0,-3,0,0,0,0,3,34,0
8476808,51,6,4,10,2,0,0,0,0,47,966,4
8467905,18,0,2,2,-3,0,0,0,0,24,212,2
8473970,14,1,0,1,-6,0,0,0,0,10,190,6
8478831,66,9,8,17,-12,0,0,1,0,77,1415,30
8479291,54,4,3,7,-4,0,0,0,0,39,781,14
8482745,60,18,20,38,-1,6,6,0,0,123,1195,30
8476834,39,9,8,17,-13,1,1,0,0,51,699,14
8470289,82,5,8,13,-4,0,0,1,0,51,1221,58
8481516,7,1,1,2,-1,0,0,0,0,13,110,6
8471829,9,1,1,2,2,0,0,0,0,5,92,0
8473569,2,0,0,0,0,0,0,0,0,0,15,4
8476363,7,0,1,1,0,0,0,0,0,6,99,0
8478400,68,8,7,15,0,0,0,0,0,64,949,12
8478366,65,20,21,41,-2,3,3,1,0,203,1443,46
8464983,11,2,0,2,-1,0,0,1,0,4,75,10
8478414,67,19,25,44,7,5,5,4,0,196,1425,52
8476439,50,8,5,13,0,0,0,0,0,68,728,25
8459425,24,0,3,3,-1,0,0,0,0,20,414,12
8477929,27,1,3,4,4,0,0,0,0,19,360,8
8476389,67,20,25,45,2,4,4,3,0,171,1631,40
8470920,23,2,2,4,-8,0,0,1,0,24,302,23
8477901,11,1,0,1,-5,0,0,0,0,14,163,4
8478398,67,35,49,84,15,9,9,7,1,218,1462,25
8478373,3,0,0,0,-2,0,0,0,0,4,51,0
8476438,58,12,12,24,-11,0,0,1,0,104,1093,6
8478401,68,13,27,40,-2,2,2,5,2,119,1643,19
8478367,1,0,0,0,0,0,0,0,0,0,10,2
8470713,15,0,1,1,-1,0,0,0,0,4,82,22
8476404,3,0,1,1,-3,0,0,0,0,1,34,0
8473568,8,0,1,1,-1,0,0,0,0,6,100,2
8475119,63,1,3,4,-5,0,0,0,0,43,754,84
8476410,51,4,12,16,0,0,0,0,0,91,775,25
8471419,6,0,0,0,0,0,0,0,0,5,78,0
8481517,55,5,11,16,0,1,1,0,0,76,1005,20
8466398,15,1,0,1,0,0,0,0,0,13,210,18
8476835,8,0,2,2,-2,0,0,0,0,13,156,0
8480153,6,0,1,1,-1,0,0,0,0,7,97,0
8479290,8,1,0,1,-1,0,0,1,0,11,131,4
8462129,59,4,12,16,0,0,0,2,0,50,1209,16
8480806,63,4,10,14,-2,0,0,1,0,53,1193,6
8483499,4,1,1,2,0,0,0,1,0,8,61,0
8476955,39,1,4,5,-7,0,0,0,0,48,622,6
8477493,57,17,43,60,1,7,7,3,1,126,1417,12
8481477,51,7,6,13,-4,0,0,1,0,46,751,13
8480769,12,2,0,2,-2,0,0,1,0,8,170,2
8480027,65,28,38,66,7,8,8,5,1,178,1359,10
8469685,1,0,0,0,0,0,0,0,0,2,13,0
8477450,56,7,9,16,-10,0,0,0,0,53,1184,21
8471747,1,0,0,0,-1,0,0,0,0,1,11,0
8471753,13,1,2,3,-5,0,0,0,0,12,184,2
8475253,50,2,6,8,2,0,0,0,0,54,590,18
8476982,5,0,1,1,-1,0,0,0,0,2,63,0
8477444,64,6,18,24,-4,0,0,0,0,96,1120,12
8476772,22,0,2,2,-3,0,0,0,0,14,337,8
8474603,11,0,1,1,0,0,0,0,0,6,129,19
8469120,1,0,0,0,-1,0,0,0,0,0,15,0
8476766,4,0,1,1,2,0,0,0,0,6,45,0
8482181,3,0,0,0,-1,0,0,0,0,2,45,0
8477478,39,4,5,9,2,0,0,1,0,42,663,16
8475086,3,1,0,1,-2,0,0,0,0,5,47,0
8470854,16,0,0,0,-4,0,0,0,0,14,210,19
8481649,7,1,0,1,-7,0,0,0,0,7,118,0
8475723,3,0,2,2,1,0,0,0,0,2,40,0
8478561,24,1,3,4,-5,0,0,0,0,21,293,14
8471237,2,0,0,0,0,0,0,0,0,0,21,2
8470667,4,0,0,0,-1,0,0,0,0,5,69,0
8470101,12,0,0,0,-5,0,0,0,0,5,86,24
8479657,24,3,3,6,-6,0,0,1,0,29,349,2
8459587,79,1,7,8,-18,0,0,0,0,63,1516,26
8476214,2,0,0,0,0,0,0,0,0,2,18,0
8470671,2,0,0,0,-1,0,0,0,0,0,13,0
8476200,21,0,3,3,-4,0,0,0,0,19,255,22
8471221,9,0,0,0,-3,0,0,0,0,12,92,10
8478211,2,0,0,0,-2,0,0,0,0,3,33,0
8475735,43,2,3,5,-11,0,0,0,0,25,632,6
8473422,63,12,15,27,-16,2,2,1,0,83,1297,44
8471235,13,2,2,4,0,0,0,1,0,14,169,8
8469485,72,12,20,32,-13,4,4,2,0,113,1470,24
8470301,9,0,1,1,3,0,0,0,0,2,73,29
8482197,3,0,0,0,0,0,0,0,0,1,45,0
8473608,35,2,3,5,0,0,0,0,0,29,557,27
8480780,14,0,0,0,-3,0,0,0,0,12,181,8
8474615,2,0,0,0,-2,0,0,0,0,3,37,2
8462077,47,5,9,14,6,0,0,1,0,69,848,18
8482815,3,0,0,0,-2,0,0,0,0,1,45,0
