gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2010-12-06,R,0,0,0,0,0,0,0,0,0,14,PIT,0,9:24
2010-12-04,R,0,0,0,-1,0,0,0,0,1,24,PHI,0,18:23
2010-11-27,H,0,0,0,1,0,0,0,0,0,23,PHI,0,16:42
2010-11-26,R,0,0,0,0,0,0,0,0,0,21,NYI,0,15:21
2010-11-20,R,0,0,0,-1,0,0,0,0,0,23,STL,0,16:42
2010-11-18,R,0,0,0,-1,0,0,0,0,0,16,TOR,0,14:49
2010-11-15,R,0,0,0,0,0,0,0,0,0,19,BOS,0,15:18
2010-11-12,H,0,0,0,0,0,0,0,0,0,14,EDM,0,10:52
2010-11-10,H,0,0,0,0,0,0,0,0,2,21,BUF,0,19:48
2010-11-05,H,0,0,0,0,0,0,0,0,0,23,NYR,0,16:17
2010-11-03,R,0,0,0,1,0,0,0,0,0,20,CHI,0,13:55
2010-11-01,R,0,0,0,-1,0,0,0,0,1,24,VAN,2,17:37
2010-10-30,R,0,0,0,0,0,0,0,0,0,17,LAK,0,12:49
2010-10-29,R,0,0,0,0,0,0,0,0,0,18,ANA,0,13:20
2010-10-27,R,0,0,0,-1,0,0,0,0,0,25,SJS,0,19:39
2010-10-24,R,0,0,0,-1,0,0,0,0,1,26,NYR,2,15:25
2010-10-23,H,0,0,0,-1,0,0,0,0,2,23,BUF,0,20:16
2010-10-21,R,0,0,0,1,0,0,0,0,1,21,MTL,0,16:12
