gameDate,homeRoadFlag,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,opponentAbbrev,pim,toi
2025-03-15,H,0,0,0,-1,0,0,0,0,0,16,TBL,0,11:56
2025-03-13,R,0,0,0,-1,0,0,0,0,2,18,OTT,0,12:31
2025-03-11,H,0,0,0,0,0,0,0,0,2,17,FLA,0,13:17
2025-03-08,R,2,0,2,2,0,0,1,0,2,18,TBL,0,14:22
2025-03-06,R,0,0,0,-1,0,0,0,0,0,17,CAR,0,10:14
2025-03-04,H,0,0,0,0,0,0,0,0,3,20,NSH,0,15:19
2025-03-02,R,0,0,0,0,0,0,0,0,1,16,MIN,0,12:27
2025-03-01,R,0,0,0,0,0,0,0,0,5,19,PIT,4,13:02
2025-02-27,H,0,0,0,0,0,0,0,0,2,18,NYI,0,10:53
2025-02-25,H,0,0,0,-2,0,0,0,0,1,16,TOR,0,10:43
2025-02-08,H,0,0,0,0,0,0,0,0,0,11,VGK,0,6:33
2025-02-05,R,0,0,0,0,0,0,0,0,0,12,NYR,0,6:59
2025-02-01,H,0,0,0,0,0,0,0,0,3,13,NYR,0,8:32
2025-01-30,H,0,0,0,0,0,0,0,0,2,13,WPG,0,8:29
2025-01-28,R,0,0,0,0,0,0,0,0,1,18,BUF,0,10:51
2025-01-14,H,0,0,0,0,0,0,0,0,0,15,TBL,0,9:27
2025-01-11,R,0,0,0,0,0,0,0,0,0,11,FLA,0,6:36
2025-01-09,R,0,0,0,0,0,0,0,0,0,17,TBL,0,10:39
2025-01-07,H,0,0,0,-1,0,0,0,0,0,14,EDM,0,9:04
2025-01-05,H,1,0,1,0,0,0,0,0,1,16,NYI,0,9:07
2025-01-04,R,0,0,0,0,0,0,0,0,0,14,TOR,0,9:22
2025-01-02,R,0,0,0,0,0,0,0,0,0,12,NYR,0,8:34
2024-12-31,R,0,0,0,1,0,0,0,0,2,17,WSH,0,11:38
2024-12-28,H,1,0,1,1,0,0,0,0,2,19,CBJ,0,12:39
2024-12-27,R,0,0,0,-2,0,0,0,0,1,16,CBJ,0,12:58
2024-12-23,H,0,0,0,0,0,0,0,0,1,16,WSH,0,11:45
2024-12-21,H,0,0,0,1,0,0,0,0,1,14,BUF,0,11:34
2024-12-17,R,0,0,0,0,0,0,0,0,0,11,CGY,0,8:19
2024-12-14,R,0,0,0,1,0,0,0,0,2,16,VAN,0,10:17
2024-12-12,R,0,0,0,0,0,0,0,0,2,15,SEA,0,11:17
2024-12-10,R,0,0,0,0,0,0,0,0,0,19,WPG,0,12:42
2024-12-07,H,0,0,0,-1,0,0,0,0,0,16,PHI,0,10:09
2024-12-04,R,0,0,0,0,0,0,0,0,0,19,CHI,0,12:37
2024-12-03,H,0,0,0,0,0,0,0,0,1,15,DET,0,10:24
2024-12-01,H,1,1,2,1,0,0,0,0,1,19,MTL,0,11:49
2024-11-29,H,0,0,0,0,0,0,0,0,1,11,PIT,0,7:33
2024-11-27,R,0,0,0,0,0,0,0,0,0,19,NYI,0,11:24
2024-11-26,H,0,0,0,0,0,0,0,0,1,15,VAN,0,8:05
2024-11-23,R,0,0,0,0,0,0,0,0,1,15,DET,0,10:11
2024-11-21,H,0,0,0,0,0,0,0,0,0,17,UTA,2,10:18
2024-11-16,H,0,0,0,-2,0,0,0,0,0,16,STL,0,10:58
2024-11-14,R,0,0,0,-1,0,0,0,0,2,19,DAL,0,13:11
2024-11-12,R,0,0,0,0,0,0,0,0,2,18,STL,2,10:55
2024-11-09,H,0,0,0,0,0,0,0,0,0,16,OTT,0,9:57
2024-11-07,H,1,0,1,1,0,0,0,0,2,16,CGY,0,13:06
2024-11-05,R,0,0,0,0,0,0,0,0,0,20,TOR,0,12:17
2024-11-03,H,0,0,0,0,0,0,0,0,2,16,SEA,0,10:44
2024-11-02,R,0,0,0,0,0,0,0,0,2,15,PHI,0,10:30
2024-10-31,R,0,0,0,0,0,0,0,0,1,21,CAR,2,13:09
2024-10-29,H,0,0,0,0,0,0,0,0,1,15,PHI,0,8:52
2024-10-26,H,0,1,1,1,0,0,0,0,2,16,TOR,0,9:54
2024-10-24,H,0,0,0,-1,0,0,0,0,0,17,DAL,0,12:21
2024-10-22,R,0,0,0,0,0,0,0,0,1,18,NSH,0,11:50
2024-10-19,R,1,0,1,1,0,0,0,0,5,20,UTA,0,12:31
2024-10-16,R,1,0,1,3,0,0,0,0,4,22,COL,0,14:00
2024-10-14,H,0,1,1,2,0,0,0,0,0,17,FLA,0,10:01
2024-10-12,H,0,0,0,0,0,0,0,0,0,18,LAK,0,12:01
2024-10-10,H,1,2,3,3,0,0,1,0,2,13,MTL,0,7:20
2024-10-08,R,0,0,0,1,0,0,0,0,1,16,FLA,2,8:25
