,gameId,homeRoadFlag,gameDate
0,2024021063,H,2025-03-15
1,2024021046,H,2025-03-13
2,2024021030,H,2025-03-11
3,2024021000,R,2025-03-07
4,2024020982,R,2025-03-04
5,2024020962,H,2025-03-02
6,2024020947,R,2025-02-28
7,2024020928,H,2025-02-25
8,2024020886,H,2025-02-08
9,2024020867,H,2025-02-06
10,2024020828,R,2025-02-01
11,2024020807,R,2025-01-29
12,2024020792,R,2025-01-26
13,2024020766,H,2025-01-23
14,2024020706,H,2025-01-15
15,2024020688,R,2025-01-12
16,2024020662,H,2025-01-09
17,2024020646,H,2025-01-07
18,2024020624,R,2025-01-04
19,2024020596,H,2024-12-31
20,2024020583,H,2024-12-29
21,2024020563,R,2024-12-27
22,2024020554,H,2024-12-23
23,2024020467,H,2024-12-12
24,2024020454,R,2024-12-10
25,2024020424,R,2024-12-06
26,2024020402,H,2024-12-03
27,2024020384,H,2024-11-30
28,2024020347,R,2024-11-27
29,2024020342,H,2024-11-25
30,2024020319,R,2024-11-23
31,2024020296,R,2024-11-19
32,2024020281,H,2024-11-16
33,2024020263,H,2024-11-14
34,2024020237,R,2024-11-10
35,2024020222,R,2024-11-08
36,2024020200,H,2024-11-05
37,2024020189,H,2024-11-03
38,2024020172,H,2024-11-01
39,2024020123,R,2024-10-26
40,2024020093,R,2024-10-22
41,2024020083,R,2024-10-19
42,2024020052,R,2024-10-15
43,2024020038,R,2024-10-13
44,2024020018,H,2024-10-10
