,name,icetime,x_goals,goals,unblocked_shot_attempts,x_rebounds,rebounds,x_freeze,freeze,x_on_goal,on_goal,x_play_stopped,play_stopped,x_play_continued_in_zone,play_continued_in_zone,x_play_continued_outside_zone,play_continued_outside_zone,flurry_adjusted_x_goals,low_danger_shots,medium_danger_shots,high_danger_shots,low_danger_x_goals,medium_danger_x_goals,high_danger_x_goals,low_danger_goals,medium_danger_goals,high_danger_goals,blocked_shot_attempts,penalty_minutes,penalties
0,Aaron Dell,3163.5846153846155,2.471076923076923,2.576923076923077,49.93076923076923,1.8585384615384617,2.1538461538461537,6.056307692307692,5.707692307692308,26.658,27.053846153846155,0.8824615384615384,0.8076923076923077,14.877076923076922,11.684615384615384,11.08423076923077,14.307692307692308,2.361,27.06923076923077,7.869230769230769,2.276923076923077,0.7916153846153847,0.9567692307692307,0.7226923076923077,0.8076923076923077,1.0692307692307692,0.7,12.715384615384615,0.015384615384615385,0.007692307692307693
4,Adin Hill,3264.573529411765,2.4583088235294115,2.4558823529411766,53.52205882352941,1.9052941176470588,2.360294117647059,6.568014705882353,6.375,27.792867647058824,27.00735294117647,0.8963235294117647,0.6838235294117647,15.52235294117647,12.816176470588236,11.426838235294118,14.058823529411764,2.355294117647059,29.522058823529413,6.992647058823529,2.301470588235294,0.8608823529411764,0.8372058823529411,0.7602941176470589,0.9632352941176471,0.8455882352941176,0.6470588235294118,14.705882352941176,0.029411764705882353,0.014705882352941176
6,Al Montoya,3267.8511904761904,2.4094047619047623,2.4107142857142856,49.75595238095238,1.7986904761904763,1.869047619047619,5.885357142857143,6.315476190476191,26.02220238095238,26.297619047619047,0.8666071428571429,0.9940476190476191,14.444345238095238,11.071428571428571,11.013690476190476,14.166666666666666,2.2992857142857144,27.38095238095238,7.071428571428571,2.267857142857143,0.8111309523809525,0.8569047619047618,0.7413690476190476,0.8511904761904762,0.9464285714285714,0.6130952380952381,13.035714285714286,0.07142857142857142,0.03571428571428571
9,Alex Nedeljkovic,3328.595744680851,2.657446808510638,2.7375886524822697,53.333333333333336,2.0151063829787232,2.3404255319148937,6.727872340425532,6.673758865248227,29.133333333333333,29.00709219858156,0.9057446808510639,0.6808510638297872,16.060992907801417,13.304964539007091,11.724893617021277,14.319148936170214,2.5476595744680854,29.581560283687942,8.177304964539006,2.3900709219858154,0.8776595744680851,1.0080851063829788,0.7717730496453901,0.9574468085106383,1.0212765957446808,0.7588652482269503,13.184397163120567,0.05673758865248227,0.028368794326241134
10,Alex Stalock,3215.1564245810055,2.1935195530726257,2.4134078212290504,49.44692737430167,1.790558659217877,1.7541899441340782,6.079888268156425,5.731843575418995,26.23536312849162,26.29050279329609,0.8614525139664804,0.7597765363128491,14.733351955307262,11.94413407821229,10.991005586592179,13.888268156424582,2.119217877094972,28.43016759776536,6.279329608938547,1.9441340782122905,0.808268156424581,0.7613966480446926,0.6237430167597766,0.8324022346368715,0.8379888268156425,0.7430167597765364,12.793296089385475,0.1005586592178771,0.055865921787709494
11,Alexandar Georgiev,3381.2755905511813,2.7314960629921257,2.6850393700787403,54.30708661417323,2.0493307086614174,2.6968503937007875,6.753661417322835,6.393700787401575,29.127204724409445,29.228346456692915,0.9276377952755905,0.7716535433070866,16.156574803149603,13.240157480314961,11.787598425196851,14.87007874015748,2.5963779527559057,30.161417322834644,7.622047244094488,2.8503937007874014,0.8670472440944883,0.9371259842519685,0.9274409448818898,1.015748031496063,0.8818897637795275,0.7874015748031497,13.673228346456693,0.023622047244094488,0.015748031496062992
16,Anders Lindback,3158.8,2.2757692307692308,2.5153846153846153,48.49230769230769,1.824923076923077,1.5615384615384615,6.036846153846153,5.992307692307692,26.55623076923077,26.176923076923078,0.8108461538461538,0.823076923076923,14.976230769230769,11.638461538461538,11.028846153846153,14.276923076923078,2.200076923076923,28.192307692307693,7.007692307692308,1.8076923076923077,0.8235384615384616,0.8408461538461539,0.6113076923076923,0.7538461538461538,0.9692307692307692,0.7923076923076923,11.484615384615385,0.046153846153846156,0.023076923076923078
17,Anders Nilsson,3307.583850931677,2.691925465838509,2.8260869565217392,55.24223602484472,2.073664596273292,2.0434782608695654,6.797204968944099,6.906832298136646,29.994161490683226,30.335403726708076,0.8809316770186334,0.9937888198757764,16.983229813664597,13.664596273291925,12.532236024844721,15.416149068322982,2.58832298136646,31.596273291925467,8.136645962732919,2.329192546583851,0.9345341614906832,0.98944099378882,0.7677639751552795,0.9875776397515528,1.1055900621118013,0.7329192546583851,13.180124223602485,0.037267080745341616,0.018633540372670808
18,Andrei Vasilevskiy,3521.392033542977,2.7005031446540877,2.511530398322851,54.020964360587,2.0628930817610063,2.1257861635220126,6.6301677148846965,6.111111111111111,29.192914046121594,30.11530398322851,0.9563731656184487,1.1886792452830188,16.35572327044025,13.048218029350105,11.920817610062892,15.670859538784066,2.5930607966457027,30.19077568134172,8.161425576519916,2.4339622641509435,0.8935639412997904,0.9963522012578616,0.8105241090146751,0.8951781970649895,0.9077568134171907,0.7085953878406709,13.234800838574424,0.050314465408805034,0.025157232704402517
22,Antero Niittymaki,3357.657142857143,2.5903809523809525,2.6095238095238096,51.42857142857143,1.9720952380952381,2.219047619047619,6.243904761904762,5.980952380952381,27.96876190476191,28.095238095238095,0.8753333333333333,0.6666666666666666,15.603238095238094,12.495238095238095,11.712571428571428,15.019047619047619,2.4714285714285715,29.8,6.6761904761904765,2.638095238095238,0.8883809523809524,0.8111428571428572,0.8910476190476191,0.8666666666666667,0.7714285714285715,0.9714285714285714,12.314285714285715,0.0380952380952381,0.01904761904761905
