,name,d_zone_shift_starts,giveaways,goals,high_danger_goals,high_danger_shots,hits,low_danger_goals,low_danger_shots,medium_danger_goals,medium_danger_shots,missed_shots,o_zone_shift_starts,penalty_minutes,points,rebound_goals,rebounds,shifts,shot_attempts,shots_on_goal,takeaways,faceoffs_lost,faceoffs_won,games_played,icetime,on_ice_corsi_percentage,on_ice_fenwick_percentage,penalties_drawn,player_id,shifts,shots_blocked_by_player,assists,position_encoded
0,A.J. Greer,206.0,39.0,13.0,7.0,23.0,274.0,5.0,135.0,1.0,58.0,49.0,149.0,143.0,31.0,3.0,18.0,2109.0,283.0,167.0,43.0,10.0,11.0,166,86117.0,3.12,3.2199999999999998,41.0,8478421,2109.0,65.0,18.0,2
1,Aaron Downey,0.0,2.0,1.0,0.0,0.0,11.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,2.0,0.0,0.0,34.0,2.0,2.0,0.0,0.0,0.0,4,1250.0,0.45,0.48,2.0,8465992,34.0,1.0,1.0,3
2,Aaron Ekblad,2658.0,621.0,114.0,28.0,70.0,744.0,62.0,2022.0,24.0,190.0,596.0,2734.0,432.0,343.0,16.0,134.0,18219.0,3168.0,1686.0,294.0,0.0,0.0,673,921635.0,5.44,5.4,114.0,8477932,18219.0,723.0,229.0,1
3,Aaron Gagnon,57.0,2.0,3.0,0.0,3.0,24.0,1.0,35.0,2.0,8.0,18.0,53.0,2.0,5.0,0.0,1.0,481.0,59.0,28.0,11.0,77.0,86.0,38,19110.0,2.0,1.98,1.0,8471451,481.0,14.0,2.0,0
4,Aaron Johnson,317.0,62.0,10.0,4.0,7.0,229.0,6.0,191.0,0.0,7.0,70.0,259.0,94.0,34.0,1.0,9.0,3018.0,288.0,135.0,41.0,0.0,0.0,146,136534.0,1.98,1.99,24.0,8469534,3018.0,156.0,24.0,1
5,Aaron MacKenzie,10.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,1.0,2.0,11.0,0.0,0.0,0.0,1.0,115.0,8.0,3.0,1.0,0.0,0.0,5,4390.0,0.47,0.52,1.0,8471004,115.0,8.0,0.0,1
6,Aaron Ness,100.0,23.0,1.0,0.0,2.0,42.0,1.0,77.0,0.0,3.0,31.0,169.0,22.0,7.0,0.0,1.0,1396.0,118.0,51.0,7.0,0.0,0.0,72,59313.0,3.25,3.15,9.0,8474604,1396.0,80.0,6.0,1
7,Aaron Palushaj,83.0,13.0,3.0,0.0,3.0,66.0,2.0,77.0,1.0,16.0,25.0,82.0,18.0,14.0,0.0,5.0,870.0,129.0,71.0,17.0,12.0,2.0,68,36876.0,2.13,2.04,19.0,8474030,870.0,25.0,11.0,3
8,Aaron Rome,561.0,73.0,5.0,2.0,4.0,275.0,2.0,257.0,1.0,7.0,90.0,433.0,140.0,26.0,1.0,13.0,4423.0,424.0,178.0,29.0,0.0,0.0,208,194299.0,2.9,2.89,23.0,8470310,4423.0,248.0,21.0,1
9,Aaron Volpatti,118.0,11.0,5.0,2.0,6.0,257.0,2.0,73.0,1.0,14.0,30.0,124.0,127.0,7.0,2.0,5.0,1287.0,131.0,63.0,11.0,11.0,9.0,114,54299.0,2.2800000000000002,2.44,25.0,8475619,1287.0,32.0,2.0,2
10,Aaron Voros,86.0,11.0,11.0,4.0,7.0,183.0,4.0,92.0,3.0,37.0,35.0,164.0,236.0,24.0,1.0,10.0,1365.0,160.0,101.0,12.0,13.0,11.0,107,56731.0,1.51,1.5,53.0,8469672,1365.0,20.0,13.0,2
11,Aaron Ward,482.0,45.0,4.0,0.0,0.0,320.0,3.0,136.0,1.0,6.0,51.0,279.0,100.0,22.0,1.0,6.0,3165.0,235.0,91.0,17.0,0.0,0.0,140,151357.0,0.88,0.89,17.0,8458519,3165.0,263.0,18.0,1
12,Aatu Raty,9.0,5.0,2.0,0.0,0.0,19.0,0.0,15.0,2.0,4.0,3.0,29.0,4.0,3.0,0.0,0.0,190.0,27.0,16.0,4.0,38.0,45.0,15,7542.0,0.51,0.54,0.0,8482691,190.0,5.0,1.0,0
13,Adam Almquist,6.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,50.0,3.0,2.0,0.0,0.0,0.0,2,2066.0,0.53,0.54,0.0,8475332,50.0,0.0,0.0,1
14,Adam Beckman,30.0,2.0,0.0,0.0,2.0,17.0,0.0,27.0,0.0,11.0,14.0,26.0,4.0,3.0,0.0,2.0,299.0,54.0,26.0,5.0,1.0,0.0,23,13856.0,1.4900000000000002,1.46,4.0,8481550,299.0,6.0,3.0,2
15,Adam Boqvist,330.0,114.0,23.0,6.0,11.0,122.0,14.0,342.0,3.0,30.0,117.0,760.0,40.0,84.0,3.0,19.0,4345.0,577.0,266.0,46.0,1.0,2.0,209,218575.0,2.6900000000000004,2.6100000000000003,39.0,8480871,4345.0,207.0,61.0,1
16,Adam Brooks,42.0,8.0,6.0,3.0,4.0,25.0,2.0,18.0,1.0,10.0,6.0,54.0,2.0,11.0,1.0,2.0,561.0,40.0,26.0,9.0,49.0,35.0,43,23766.0,1.44,1.43,3.0,8478996,561.0,9.0,5.0,0
17,Adam Burish,1054.0,42.0,23.0,5.0,28.0,301.0,9.0,330.0,9.0,92.0,117.0,504.0,248.0,52.0,2.0,18.0,5065.0,536.0,333.0,54.0,675.0,746.0,288,198562.0,2.92,3.0100000000000002,91.0,8470063,5065.0,213.0,29.0,3
18,Adam Clendening,131.0,57.0,4.0,2.0,4.0,53.0,2.0,154.0,0.0,0.0,53.0,286.0,49.0,24.0,0.0,5.0,1877.0,239.0,105.0,18.0,0.0,0.0,90,83451.0,2.49,2.46,10.0,8476431,1877.0,92.0,20.0,1
19,Adam Cracknell,289.0,38.0,21.0,3.0,15.0,361.0,7.0,256.0,11.0,75.0,101.0,329.0,46.0,43.0,2.0,17.0,3181.0,447.0,245.0,68.0,549.0,376.0,210,128608.0,4.3100000000000005,4.17,36.0,8471490,3181.0,94.0,22.0,3
20,Adam Edstrom,22.0,4.0,2.0,0.0,1.0,30.0,1.0,3.0,1.0,4.0,1.0,17.0,2.0,2.0,0.0,0.0,142.0,10.0,7.0,1.0,0.0,0.0,11,5551.0,0.38,0.3,3.0,8481726,142.0,2.0,0.0,0
21,Adam Erne,709.0,91.0,41.0,11.0,39.0,880.0,16.0,410.0,14.0,164.0,166.0,793.0,160.0,91.0,6.0,34.0,6233.0,773.0,447.0,81.0,94.0,106.0,379,274357.0,3.77,3.7800000000000002,53.0,8477454,6233.0,191.0,50.0,2
