name,I_F_goals_all,playerId_all
A.J. Greer,13.0,8478421
Aaron Downey,1.0,8465992
Aaron Ekblad,114.0,8477932
Aaron Gagnon,3.0,8471451
Aaron Johnson,10.0,8469534
Aaron MacKenzie,0.0,8471004
Aaron Ness,1.0,8474604
Aaron Palushaj,3.0,8474030
Aaron Rome,5.0,8470310
Aaron Volpatti,5.0,8475619
Aaron Voros,11.0,8469672
Aaron Ward,4.0,8458519
Aatu Raty,2.0,8482691
Adam Almquist,1.0,8475332
Adam Beckman,0.0,8481550
Adam Boqvist,23.0,8480871
Adam Brooks,6.0,8478996
Adam Burish,23.0,8470063
Adam Clendening,4.0,8476431
Adam Cracknell,21.0,8471490
Adam Edstrom,2.0,8481726
Adam Erne,41.0,8477454
Adam Fantilli,12.0,8484166
Adam Foote,1.0,8456283
Adam Fox,53.0,8479323
Adam Gaudette,28.0,8478874
Adam Ginning,1.0,8480874
Adam Hall,18.0,8467925
Adam Henrique,263.0,8474641
Adam Johnson,1.0,8480341
Adam Klapka,1.0,8483609
Adam Larsson,44.0,8476457
Adam Lowry,104.0,8476392
Adam Mair,15.0,8466216
Adam McQuaid,16.0,8471717
Adam Pardy,4.0,8471385
Adam Payerl,0.0,8476522
Adam Pelech,26.0,8476917
Adam Raska,0.0,8482197
Adam Ruzicka,14.0,8480008
Adrian Aucoin,23.0,8459053
Adrian Kempe,160.0,8477960
Aidan McDonough,1.0,8481683
Akil Thomas,3.0,8480851
Akim Aliu,2.0,8474049
Akito Hirose,0.0,8484254
Aku Raty,0.0,8481699
Alan Quine,10.0,8476409
Alec Martinez,83.0,8474166
Alec Regula,1.0,8480831
Aleksander Barkov,265.0,8477493
Aleksi Heponiemi,2.0,8480037
Aleksi Saarela,2.0,8478839
Ales Hemsky,104.0,8469466
Ales Kotalik,35.0,8467502
Alex Barr-Boulet,6.0,8479718
Alex Barre-Boulet,6.0,8479718
Alex Belzile,6.0,8475968
Alex Biega,4.0,8473415
Alex Broadhurst,0.0,8476283
Alex Chiasson,120.0,8475163
Alex DeBrincat,214.0,8479337
Alex Formenton,23.0,8480029
Alex Friesen,0.0,8475836
Alex Frolov,58.0,8468500
Alex Galchenyuk,146.0,8476851
Alex Goligoski,87.0,8471274
Alex Grant,2.0,8474005
Alex Henry,0.0,8467392
Alex Iafallo,97.0,8480113
Alex Kerfoot,13.0,8477021
Alex Khokhlachev,0.0,8476435
Alex Killorn,216.0,8473986
Alex Kovalev,62.0,8458529
Alex Laferriere,12.0,8482155
Alex Newhook,42.0,8481618
Alex Nylander,11.0,8479423
Alex Ovechkin,689.0,8471214
Alex Petrovic,2.0,8475755
Alex Pietrangelo,143.0,8474565
Alex Plante,0.0,8474046
Alex Steeves,0.0,8482634
Alex Tanguay,106.0,8467338
Alex Tuch,131.0,8477949
Alex Turcotte,1.0,8481532
Alex Vlasic,3.0,8481568
Alex Wennberg,51.0,8477505
Alexander Alexeyev,1.0,8480823
Alexander Barabanov,32.0,8482222
Alexander Burmistrov,37.0,8475788
Alexander Chmelevski,0.0,8480053
Alexander Edler,95.0,8471303
Alexander Holtz,19.0,8482125
Alexander Kerfoot,72.0,8477021
Alexander Nikulin,0.0,8471334
Alexander Nylander,14.0,8479423
Alexander Petrovic,3.0,8475755
Alexander Radulov,100.0,8471228
Alexander Romanov,13.0,8481014
Alexander Semin,165.0,8470120
Alexander Steen,197.0,8470257
Alexander Sulzer,7.0,8470685
Alexander True,0.0,8480384
Alexander Urbom,3.0,8475248
Alexander Vasyunov,1.0,8473605
Alexander Volkov,7.0,8480186
Alexander Wennberg,40.0,8477505
Alexander Yelesin,0.0,8481630
Alexandre Bolduc,2.0,8470719
Alexandre Burrows,182.0,8470358
Alexandre Carrier,10.0,8478851
Alexandre Fortin,4.0,8479657
Alexandre Giroux,4.0,8468086
Alexandre Grenier,0.0,8476414
Alexandre Picard,7.0,8471221
Alexandre Texier,34.0,8480074
Alexei Emelin,15.0,8471296
Alexei Ponikarovsky,67.0,8467412
Alexei Semenov,1.0,8467909
Alexei Toropchenko,2.0,8480281
Alexey Marchenko,4.0,8476289
Alexey Toropchenko,24.0,8480281
Alexis Lafreniere,31.0,8482109
Alexis Lafrenire,44.0,8482109
Aliaksei Protas,13.0,8481656
Anders Bjork,26.0,8478075
Anders Eriksson,0.0,8459443
Anders Lee,260.0,8475314
Andre Benoit,11.0,8470378
Andre Burakovsky,142.0,8477444
Andre Deveaux,0.0,8470301
Andre Petersson,0.0,8474670
Andre Roy,3.0,8460639
Andreas Athanasiou,127.0,8476960
Andreas Borgman,3.0,8480158
Andreas Englund,1.0,8477971
Andreas Engqvist,0.0,8475372
