PLAYERS,TEAM,POS,HAND,AGE,G,A,PTS,SV%,CAP HIT,TOTAL,TERM,TYPE
"Matthews, Auston",TOR,C,Left,27,23,33,56,0.0,"$13,250,000","$16,700,000",4 yrs,Std (Ext)
"MacKinnon, Nathan",COL,C,Right,29,27,75,102,0.0,"$12,600,000","$16,500,000",8 yrs,Std (Ext)
"McDavid, Connor",EDM,"C, RW",Left,28,24,61,85,0.0,"$12,500,000","$10,000,000",8 yrs,Std (Ext)
"Panarin, Artemi",NYR,"RW, LW",Right,33,28,41,69,0.0,"$11,642,857","$10,000,000",7 yrs,Std
"Pettersson, Elias",VAN,"C, LW",Left,26,14,25,39,0.0,"$11,600,000","$14,500,000",8 yrs,Std (Ext)
"Karlsson, Erik",PIT,RD,Right,34,9,39,48,0.0,"$11,500,000","$11,000,000",8 yrs,Std (Ext)
"Nylander, William",TOR,RW,Right,28,36,31,67,0.0,"$11,500,000","$13,500,000",8 yrs,Std (Ext)
"Pastrnak, David",BOS,RW,Right,28,34,48,82,0.0,"$11,250,000","$13,000,000",8 yrs,Std (Ext)
"Doughty, Drew",LAK,"RD, LD",Right,35,2,6,8,0.0,"$11,000,000","$11,000,000",8 yrs,Std (Ext)
"Tavares, John",TOR,C,Left,34,27,29,56,0.0,"$11,000,000","$7,950,000",7 yrs,Std
"Dahlin, Rasmus",BUF,"LD, RD",Left,24,11,40,51,0.0,"$11,000,000","$13,000,000",8 yrs,Std (Ext)
"Marner, Mitch",TOR,"RW, LW",Right,27,21,59,80,0.0,"$10,903,000","$8,025,000",6 yrs,Std
"Price, Carey",MTL,G,Left,37,0,0,0,0.0,"$10,500,000","$7,500,000",8 yrs,Std (Ext)
"Huberdeau, Jonathan",CGY,"RW, LW",Left,31,25,24,49,0.0,"$10,500,000","$10,500,000",8 yrs,Std (Ext)
"Barkov, Aleksander",FLA,C,Left,29,17,43,60,0.0,"$10,000,000","$12,000,000",8 yrs,Std (Ext)
"Eichel, Jack",VGK,"C, LW",Right,28,20,59,79,0.0,"$10,000,000","$10,000,000",8 yrs,Std (Ext)
"Bobrovsky, Sergei",FLA,G,Left,36,0,0,0,0.907,"$10,000,000","$6,500,000",7 yrs,Std
"Seguin, Tyler",DAL,C,Right,33,9,11,20,0.0,"$9,850,000","$8,000,000",8 yrs,Std (Ext)
"Gaudreau, Johnny",CBJ,"LW, RW",Left,31,0,0,0,0.0,"$9,750,000","$9,750,000",7 yrs,Std
"Aho, Sebastian",CAR,"C, LW",Left,27,24,38,62,0.0,"$9,750,000","$12,000,000",8 yrs,Std (Ext)
"Werenski, Zach",CBJ,LD,Left,27,20,49,69,0.0,"$9,583,333","$11,500,000",6 yrs,Std
"Fox, Adam",NYR,RD,Right,27,5,43,48,0.0,"$9,500,000","$12,000,000",7 yrs,Std (Ext)
"Ovechkin, Alex",WSH,"LW, RW",Right,39,33,20,53,0.0,"$9,500,000","$11,000,000",5 yrs,Std (Ext)
"Vasilevskiy, Andrei",TBL,G,Left,30,0,2,0,0.92,"$9,500,000","$10,000,000",8 yrs,Std (Ext)
"Point, Brayden",TBL,"C, RW",Right,29,32,33,65,0.0,"$9,500,000","$12,000,000",8 yrs,Std (Ext)
"McAvoy, Charlie",BOS,RD,Right,27,7,16,23,0.0,"$9,500,000","$11,500,000",8 yrs,Std (Ext)
"Benn, Jamie",DAL,"LW, C",Left,35,16,24,40,0.0,"$9,500,000","$6,500,000",8 yrs,Std (Ext)
"Stone, Mark",VGK,RW,Right,32,17,40,57,0.0,"$9,500,000","$11,000,000",8 yrs,Std (Ext)
"Tkachuk, Matthew",FLA,LW,Left,27,22,35,57,0.0,"$9,500,000","$11,250,000",8 yrs,Std
"Kucherov, Nikita",TBL,RW,Left,31,28,64,92,0.0,"$9,500,000","$9,000,000",8 yrs,Std (Ext)
"Jones, Seth",FLA,RD,Right,30,7,20,27,0.0,"$9,500,000","$12,500,000",8 yrs,Std (Ext)
"Nurse, Darnell",EDM,"LD, RD",Left,30,5,19,24,0.0,"$9,250,000","$12,000,000",8 yrs,Std (Ext)
"Rantanen, Mikko",DAL,RW,Left,28,25,39,64,0.0,"$9,250,000","$6,000,000",6 yrs,Std
"Backstrom, Nicklas",WSH,C,Left,37,0,0,0,0.0,"$9,200,000","$8,000,000",5 yrs,Std (Ext)
"Barzal, Mathew",NYI,"RW, C, LW",Right,27,6,14,20,0.0,"$9,150,000","$9,150,000",8 yrs,Std (Ext)
"Josi, Roman",NSH,LD,Left,34,9,29,38,0.0,"$9,059,000","$9,000,000",8 yrs,Std (Ext)
"Makar, Cale",COL,RD,Right,26,24,51,75,0.0,"$9,000,000","$10,600,000",6 yrs,Std (Ext)
"Hamilton, Dougie",NJD,RD,Right,31,9,31,40,0.0,"$9,000,000","$12,600,000",7 yrs,Std
"Guentzel, Jake",TBL,"LW, C",Left,30,32,31,63,0.0,"$9,000,000","$13,263,157",7 yrs,Std (Ext)
"Kaprizov, Kirill",MIN,"RW, LW",Left,27,23,29,52,0.0,"$9,000,000","$10,000,000",5 yrs,Std
"Pietrangelo, Alex",VGK,RD,Right,35,4,23,27,0.0,"$8,800,000","$12,500,000",7 yrs,Std
"Meier, Timo",NJD,"RW, C, LW",Left,28,18,25,43,0.0,"$8,800,000","$11,100,000",8 yrs,Std (Ext)
"Larkin, Dylan",DET,C,Left,28,27,32,59,0.0,"$8,700,000","$11,000,000",8 yrs,Std (Ext)
"Laine, Patrik",MTL,"LW, RW",Right,26,15,11,26,0.0,"$8,700,000","$9,100,000",4 yrs,Std
"Crosby, Sidney",PIT,C,Left,37,23,49,72,0.0,"$8,700,000","$3,000,000",12 yrs,Std (Ext)
"Reinhart, Sam",FLA,"LW, RW, C",Right,29,32,38,70,0.0,"$8,625,000","$11,000,000",8 yrs,Std (Ext)
